Geneid,A01,A02,A03,A04,A05,A06,A07,A10,A11,A12,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A35,A36,A37,A38,A39,A41,A42,A43,A44,A45,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A59,A60,A61,A62,A63
NAPEPLD,451.2367212,480.7973953,438.4293251,747.9165904,443.6052678,410.9872429,454.5527939,536.2399666,440.0070531,431.0981743,405.8074084,558.6609538,690.9115733,439.4864403,411.8426479,441.9741296,459.2189038,326.8668063,436.4801514,469.176038,443.6599478,482.9500526,500.7065697,478.555766,443.7926938,510.7315796,524.6463859,536.2576599,535.5630807,446.502357,413.5907558,474.7857878,456.7325047,466.6706171,517.8390211,482.1869787,427.373626,477.1576994,465.6060565,495.0137918,457.5831178,469.4674034,473.6567761,481.6941468,458.5074376,359.9136372,472.8988047,455.0034894,479.3814895,438.5678599,230.6014813,421.5367377,457.2623621,444.7206405,467.6565811
RELN,830.6439235,1203.73131,1041.269647,3639.527221,634.7606994,1030.342144,908.5220797,909.2218638,1696.245677,849.5911389,643.2563617,1023.845173,3404.253755,1675.604058,693.309073,585.4116439,773.2253435,1032.998914,704.9154445,1046.182266,762.2566978,913.9942584,3735.494449,1310.034421,698.6056018,1055.428067,2359.48048,1784.044955,791.0743079,751.7179641,664.1385012,664.700103,578.4276787,634.8581756,1027.01128,3605.846584,621.9303815,902.629557,969.6692504,903.6251763,867.2099263,1002.689639,685.9086333,646.9883091,706.3930841,727.8031999,784.1549336,1157.905432,1145.247646,973.3651726,1084.768193,810.4804287,877.1384933,665.9445367,1084.072494
ORC5,329.0651463,377.6866286,325.7773457,882.9918274,297.1220295,340.5733446,335.5171457,394.3310293,448.3265142,330.2564961,285.8917163,439.8905148,902.3941648,441.4705777,264.4078538,325.3582642,286.7015319,358.056387,293.5329018,370.5228857,324.8848437,323.8473483,621.5667762,383.6118364,257.9109372,387.4515431,652.23734,583.245466,396.9807202,328.7633988,331.3213469,334.6474021,272.6873342,317.7614743,421.4212954,488.9426632,340.2708108,349.0667001,396.9325969,388.8108328,299.7269331,550.6099176,323.963361,320.6564865,273.8083285,278.1604011,276.6721147,400.0892751,405.6304911,398.5432203,381.1983671,328.827627,386.8036962,311.38021,410.6470169
LHFPL3-AS2,110.5069521,104.2693146,98.95106296,244.3027436,137.1332444,117.116994,119.0356482,148.1880938,98.90914849,94.11889966,119.1215485,108.8729024,165.284938,145.8341009,85.29285608,114.283548,121.6309529,111.0349075,115.6672401,126.1842645,124.3645208,94.78458975,149.2979021,103.5751958,104.5584881,104.4106431,169.4864913,147.675962,140.0259268,110.4934839,106.9502316,123.2911481,86.38854941,115.0057219,153.835023,131.7358471,86.28877021,106.3679644,123.6122274,109.8030593,128.8825812,147.7952937,118.414194,99.31838078,90.72938695,90.72615232,90.21916782,111.397406,131.6982114,131.1445639,80.00459557,105.7463294,106.4069648,103.7934033,122.0360983
PIK3CG,486.8445169,527.1393129,506.9339072,432.7410372,528.7941014,598.5181352,417.7917849,551.3099423,498.2432807,640.3446566,570.1951453,347.5135067,372.6610715,519.8440061,615.3270331,584.2454853,552.3038168,590.1068678,608.8898112,581.5947464,602.9583228,466.024233,418.4403787,478.555766,583.9785186,510.7315796,491.3203904,416.9235492,638.0562848,555.1844723,614.7768558,588.1217501,612.2318937,611.5911221,608.8400206,343.6954472,576.3438614,543.0758745,509.5570707,553.5154217,517.5285044,524.5283952,437.9090948,622.1587139,482.809952,588.224504,565.3734517,492.6589505,625.8299006,586.7441854,625.9183065,514.9701383,616.8728092,662.1564563,510.4137542
SLC26A4-AS1,12.89247775,20.85386293,13.70091641,42.52368574,16.62221144,10.77763749,11.67016159,25.11662607,23.10961413,20.16833564,19.85359141,24.19397831,46.19765349,26.78585528,7.310816235,18.65853845,16.13471824,7.48549938,8.729603028,19.50120451,18.16560416,13.54065568,22.34390372,17.26253264,16.2646537,8.805716889,31.42165288,37.29190959,23.09706009,21.73642306,11.96645948,11.48675293,20.28252899,12.63068622,14.08348802,23.64489563,10.58258503,17.97768412,20.6020379,18.00050152,6.993628438,20.28562854,15.63961053,19.86367616,16.20167624,15.95185096,15.78835437,12.5518204,7.375099839,18.73493771,0,13.76150862,14.37931956,18.94040207,9.798518841
SLC26A3,151.6400954,149.4526843,120.2635996,502.780049,107.0054861,140.1092873,186.7225854,183.3513703,195.0451433,171.4308529,136.5927089,200.1501842,406.5393507,214.2868422,119.4099985,127.1112932,142.7301998,185.8899013,127.6704443,166.3338032,164.1891146,152.3323764,191.9544456,202.3552437,114.6270832,182.4041356,327.546927,252.0933088,184.7764807,152.1549614,131.6310543,150.0935716,116.4367405,137.6080025,171.1685467,199.2926917,143.2719203,170.038929,185.4183411,172.8048146,173.8416212,139.1014529,196.6122467,147.5587372,158.7764272,169.4884164,140.5915365,174.156508,190.6990101,177.1303201,141.1845804,170.2081329,143.7931956,134.8556627,157.6670759
LSMEM1,124.0133574,139.0257529,115.6966275,182.6017094,140.249909,114.9614665,114.3675836,113.0248173,103.5310713,134.4555709,127.062985,125.3687967,209.4293625,118.056177,113.3176516,129.4436105,145.2124642,106.0445745,127.6704443,121.5957458,134.146,164.7446441,146.2510062,128.5099652,138.6368101,140.8914702,164.7256348,131.2675218,148.6873243,138.569697,127.143632,153.1567057,129.2072217,132.2898188,133.2514636,103.0241881,132.6893353,149.8140344,137.3469193,135.9037865,129.881671,136.2035059,118.414194,143.3022351,115.0319013,110.665966,122.547703,141.2079795,182.2703246,137.9572686,105.8884353,118.7835481,112.1586926,137.886127,139.8515871
TFEC,430.9771133,737.9950381,712.4476533,446.0818014,593.2051708,533.8523102,389.199889,700.7538674,581.4378916,549.5871462,563.841996,323.3195284,417.8321104,616.0746713,517.8494833,588.9101199,512.5875873,658.7239454,612.1634123,778.9010508,533.0906145,538.2410633,508.8316256,512.1218016,552.9982258,524.5691347,508.4594738,424.3819312,720.3395614,564.2413153,556.4403658,634.8345453,604.7198459,526.5001834,628.3402348,285.4276687,621.1163365,558.8063482,629.0488905,636.3177287,507.5376066,799.833354,445.7289001,617.9022119,614.0435295,463.6006684,423.2782624,599.3494239,521.5249172,554.3838385,854.1667115,511.3486887,555.0417351,659.883608,671.6439278
CADPS2,1152.34194,1597.63761,1446.207843,4404.119766,791.6328198,1026.031089,1454.685642,1110.154872,2182.471959,1183.209024,1028.416035,1955.313338,4518.130511,1973.224672,866.3317238,676.3720189,920.920072,1304.972059,1105.385983,1149.423937,997.7108748,1149.827345,1959.154103,2095.479657,840.3404412,1387.52939,2804.144476,1883.241434,825.719898,1092.255259,946.0982027,811.7305405,788.7650164,875.5059867,1172.179541,2321.422075,764.3882568,1176.04017,1139.97943,1231.234304,1176.927757,1034.567056,1113.763693,871.8734999,1056.349291,817.5323615,924.7464702,1476.407874,1363.339884,1569.476827,945.9366888,1071.224803,1393.356066,965.9605054,1174.040712
