data$Geneid,C07,C10,C11,C12,C17,C18,C35,C36,C37,C39,C42,C44,C49,D01,D04,D05,D15,D16,D19,D20,D25,D31,D38,D41,D51,D57,E02,E03,E06
TNFRSF25,97.48530857226592,49.8004329429167,87.66527499186147,60.24356096704564,97.13424136761583,99.576033180547185,52.21554173200999,93.76743047067947,51.26115771871983,88.9063045183256,91.00532932617605,95.70636417060051,76.16064857905654,114.56178490173794,83.54787312829573,84.44362864453291,85.67051390670267,88.09134039175854,100.72439751832498,115.02886945667645,114.17741332654334,90.69886006586033,87.83574520814747,104.85668038216707,108.67432609044141,83.10334051714699,70.61819401408478,54.649059774059424,86.29574567487174
CASZ1,2725.3192104509376,2038.7687445610388,2915.254890299533,2184.569784575491,2588.2228064412634,2580.263959790929,1871.0569120636912,2585.489359062162,2172.4125115967818,1995.74749247107,2333.583810526498,2059.281935737421,2520.225098434235,2975.0038355929305,2444.372059524995,2263.834338514463,2697.0346970628616,2336.600999104169,2504.43131607292,2789.450084324404,2894.047905134017,3267.7259112407605,2650.3481380197545,3163.9975503236456,2448.849287917691,2588.669057109129,2077.4588711779847,2173.6942346865676,2714.939198710312
CLCN6,442.5975323499956,398.4034635433336,449.0922859232201,406.89093636758696,381.4542603707413,450.58155014197604,400.3191532787432,457.0342590074377,416.27595319856965,326.43210315683723,461.68557316694194,419.5128962811322,455.57915240926553,447.439424050184,457.12622011624666,499.21086345738576,431.52555153005784,429.9904040904649,451.3945222117527,439.41028132450407,474.18578799901167,421.83526426857685,453.4997714551093,508.80120749199193,451.0393082851403,455.4063060339655,383.90618200384273,441.65362592913334,412.71878366243004
AADACL3,72.58030273263594,81.30682929455787,84.5893004307435,104.68553217224324,68.80342096872788,60.99032032308516,84.1250394571272,76.71880674873775,62.750727552225996,119.42637920372094,51.79165083603515,54.233606363340286,106.62490801067916,49.71549156113156,66.83829850263659,42.221814322266454,49.71005127919784,78.4972340124581,41.03586565561388,52.91327995007117,64.07916054040697,59.0398240051355,47.73681804790624,64.74372211516356,48.20891157395521,95.56884159471905,86.02579998079419,47.95733816907256,93.79972355964318
C1orf158,43.40586732049796,71.143475632738145,58.44351666124097,73.08235264854717,69.81523598297387,57.25621907881464,100.0797883196858,44.58870819584758,98.10325011686037,62.36710913972094,57.71069664586774,62.20913671089033,69.23695325368777,51.8770346724851,57.289970145117074,38.496360117360595,58.171336603316625,66.28655316607573,53.470976460345355,63.26587820117205,55.92363101708246,52.194627019032836,35.32524535545062,61.928777675373844,58.01411392798,45.70683728443085,62.91439103073007,61.3407813790463,52.52784519340018
PRAMEF25,10.673573931269992,19.310371957457495,19.224841006987162,18.764387842194544,9.106335128213983,14.936404977082079,13.053885433002497,7.868595563973103,15.908635154085465,23.88527584074419,7.3988072622907355,12.760848556080067,6.923695325368777,13.689773038572458,13.12895149158933,3.725454204905864,3.172981996544543,9.594106379300435,9.948088643785184,5.751443472833823,4.660302584756871,8.556496232628334,12.411572692455621,11.259777759158881,8.988102157856057,6.64826724137176,16.691573130601856,12.26815627580926,15.758353558020056
RAP1GAP,742.1691740209734,572.196811160451,806.6743286531813,781.1910938513623,715.3532150719207,760.5119534164292,654.1447033649029,794.0724356642856,765.3821135243339,801.4837004338606,780.5741661716727,733.7487919746038,743.6048779446066,901.3634774344287,759.0921044228013,731.4308422298512,801.7067844602545,745.7237231183519,767.2463366519322,827.0575713935037,870.3115077033457,883.8860608305068,918.456379241716,958.4885817483997,722.3165734131594,768.7058997836097,785.7879043021798,756.1645413635162,695.6187499183139
MAN1C1,2457.76829057377,2409.731153217459,2463.086629815195,2385.052454678938,2668.156192566697,2605.157968086066,2288.781245919771,2586.8007916561573,2484.39852322968,2551.7436356528374,2768.633677549193,2488.365468435613,2531.303010954825,2710.5750616373466,2795.2731266638375,2940.6251857390284,2792.224156959198,2688.0941691821763,2837.6922856397237,2965.444254593119,2676.1787592966334,2727.810998961913,2815.5175284655097,2669.9748011405495,2796.1168712894023,2600.3035247815296,2483.192494967999,2527.2401928167073,2579.867596784426
LINC01648,70.44558794638195,57.93111587237249,69.97842126543327,103.69793281212773,72.85068102571186,104.55483483957455,85.57547117190526,51.80158746282292,121.96620284798855,84.9254252115349,47.35236647866071,55.828712432850295,62.31325792831899,54.03857778383865,54.9028880557372,31.045451707548864,59.22899726883147,74.13627656732153,44.766398897033326,55.2138573392047,59.418857955650104,60.75112325166117,66.83154526706873,61.928777675373844,51.477312358630144,60.66543857751731,80.88993132522438,84.76180699650034,58.53102750121735
RBBP4,407.7305241745137,393.3217867124237,447.55429864266114,362.44896516238936,433.0568260972872,441.86864723867814,382.9139727014066,412.4455508115901,378.2719914415877,417.9923272130233,475.0034262390652,376.445032404362,420.9606757824216,433.02913664116033,428.4812350436881,435.87814197398603,446.33280084726573,469.239021096694,460.0990997750647,448.61259088103816,462.53503153711944,497.988080738969,545.1544621070892,472.910665884673,486.9917169165645,437.1235711201932,382.62221483995023,451.6912083366136,450.9890708747644
ZSCAN20,102.46630974019192,144.31962199784024,113.811058761364,123.44992001443778,111.2996515670598,136.9170456232524,123.28669575613469,103.60317492564585,115.77951139917754,94.21414359404652,100.62377876715401,86.13572775354045,117.70282053126921,100.15149749271428,100.25744775395488,110.52180807887396,107.88138788251446,95.94106379300435,82.07173131122777,73.61847645227293,88.54574911038056,89.8432104425975,105.97573606635184,93.59690262300819,88.2468211862231,110.5274428878055,120.69291340589035,137.1802929022308,109.55807711766325
THRAP3,1591.0740873546467,1369.0037382471182,1577.9749498535064,1273.0155751888824,1575.3959771810191,1504.8428014410194,1293.7850895820252,1611.7506580204904,1473.3163778811372,1295.1127344759072,1527.113818936808,1448.3563111150877,1524.5977106462046,1632.6855634423782,1465.6684028792451,1741.0289317593404,1569.568427624034,1471.3870419890757,1597.911738407995,1735.7856401012477,1645.0868124191754,1546.1588692359398,1586.7718319124033,1501.7728586278156,1707.7394099926507,1665.390943963626,1507.3774504097369,1331.652599392387,1639.619167822563
LINC01137,273.24349264051176,219.52843909530628,239.92601576719977,224.185054746219,236.76471333356358,248.94008295136797,233.5195060792669,272.1222632540698,235.09427505481852,276.0076319374884,245.64040110805243,218.52953152287114,270.0241176893823,235.6081991375365,303.1594253512445,293.06906411926127,274.9917730338604,252.93553181792055,268.59839338219996,272.6184206123232,273.7927768544662,295.19912002567753,292.1493264531862,280.7907078690246,272.9114655203566,226.87211961181129,264.4972357618448,240.90197777952727,240.12729231268656
