data$Geneid,A01,A04,A05,A14,A15,A16,A19,A20,A25,A26,A30,A31,A33,A36,A38,A41,A43,A50,A51,A57
LINC02800,188.47574612509592,177.59892279796182,197.38876084748432,177.88817902567192,199.05045794715218,227.90842388171242,211.0747162287174,188.65209022854708,170.38658396412265,246.79857288321293,174.24734776835015,202.8679881814981,211.02444053663788,179.9591292550511,181.48301774684745,191.6925467172808,185.02033243076002,206.66628200575312,195.79909354044614,186.4977889752223
PAFAH2,394.75539009262764,255.97591220175718,433.21638564947875,420.101994216877,371.7074850062842,350.0755519984862,420.98327380423746,383.5098413198753,462.63906904165754,320.93970794689415,348.4946955367003,363.2231994279029,442.87961983869496,409.69418787852055,438.0853798357966,363.11804003713985,395.5090507021915,407.7469888221616,422.8125353264706,372.9955779504446
TENT5B,141.81725522767803,204.28045110563684,138.17213259323904,148.50486374018146,135.2663333011034,147.83249116651618,157.43141818164005,135.28340680862917,124.1226770599569,182.81375769126885,136.1604957971261,149.1676383687486,124.98443259251515,153.15670574897965,138.93754838494914,131.73584708324142,133.33449057763272,161.9816804909957,149.6869881776599,149.8795016421878
STX12,449.3949386435512,441.9128125958675,423.8663917145979,481.25105575695176,486.0790188543716,496.88142864301267,473.46041319811746,451.772110810468,514.544915812185,468.206346087083,447.5205106618829,428.85696031015226,485.44678166368203,493.1645925117145,461.3524333930847,439.96395083569735,497.3825940648772,512.7558023818416,469.6340576948382,461.5607380117374
OPRD1,702.3330735085008,552.8079146246417,647.2273579367512,564.6361396752354,486.0790188543716,399.3530490539916,563.2546294943122,628.0128793134528,547.2681670370827,527.1130013431584,466.5639366474949,623.5207283813692,585.9777383141833,585.0586159611023,679.3979638728135,466.98668869892634,617.9828917221741,619.9988460172593,650.5353941180764,554.3838384605923
ZCCHC17,440.7999534782374,436.9100260381784,488.277461043777,481.25105575695176,478.38093484536574,411.6724233178679,460.6326680129468,430.6728638770121,472.79456080110856,444.8468103820875,414.1945151870618,407.2276527466837,462.8046743099655,450.28071490200017,432.10242320677963,455.1642408837637,511.6149273287818,423.3865993523267,447.642130521817,418.98133413611583
RBBP4,434.0467508483479,504.4476445669808,381.2719749001408,433.60243637507534,364.0094009972783,680.6454280791681,448.97108148097345,443.0841856025744,423.1454899771258,489.534617817731,412.29017258850064,454.21545883283954,416.6147753083838,401.2705690623267,450.71606605261013,532.8546122405471,449.44210307067215,411.0983339357684,468.9246406892568,425.7940387562153
DLGAP3,344.413334124361,269.3166763555947,395.81640990995544,343.86420320587473,299.12555006422866,279.2391499811972,369.6722930635548,368.61625524920055,284.3537692646285,313.83028403667817,276.12967679137455,282.67267470877863,348.6884532472343,372.93657849876547,325.73874980203385,274.44968142341963,352.81205091047764,294.91836999739905,340.52016267903673,318.49394098964905
AGO3,1098.9302461365528,942.191468364774,1108.4937253908724,1137.213715914117,1217.3969997099307,1057.4129576493865,1075.1982782479417,1051.2389501551274,1118.2324815128845,1053.2103706991431,948.3626140834796,955.4187237518348,1173.766845216664,1111.1519002088473,1171.3299533697625,1125.6659241151335,1182.0327310758678,1151.7456040428729,1139.3237109636104,1210.106658145164
THRAP3,1551.3948223391446,1568.3735858355221,1432.6268484667416,1686.761126118425,1519.821728635162,1756.5374471243692,1662.9422394593978,1540.2450261422825,1586.5134904209037,1684.9334667211945,1527.2827640460855,1593.856215970079,1507.058665463371,1625.758431525419,1568.86418272,1706.6547881745573,1507.1291856303205,1585.18623873602,1633.7873638537951,1593.3212930257575
