Geneid	C07	C10	C11	C12	C17	C18	C35	C36	C37	C39	C42	C44	C49	D01	D04	D05	D15	D16	D19	D20	D25	D31	D38	D41	D51	D57	E02	E03	E06
RAP1GAP	742.169174	572.1968112	806.6743287	781.1910939	715.3532151	760.5119534	654.1447034	794.0724357	765.3821135	801.4837004	780.5741662	733.748792	743.6048779	901.3634774	759.0921044	731.4308422	801.7067845	745.7237231	767.2463367	827.0575714	870.3115077	883.8860608	918.4563792	958.4885817	722.3165734	768.7058998	785.7879043	756.1645414	695.6187499
MAN1C1	2457.768291	2409.731153	2463.08663	2385.052455	2668.156193	2605.157968	2288.781246	2586.800792	2484.398523	2551.743636	2768.633678	2488.365468	2531.303011	2710.575062	2795.273127	2940.625186	2792.224157	2688.094169	2837.692286	2965.444255	2676.178759	2727.810999	2815.517528	2669.974801	2796.116871	2600.303525	2483.192495	2527.240193	2579.867597
LINC01648	70.44558795	57.93111587	69.97842127	103.6979328	72.85068103	104.5548348	85.57547117	51.80158746	121.9662028	84.92542521	47.35236648	55.82871243	62.31325793	54.03857778	54.90288806	31.04545171	59.22899727	74.13627657	44.7663989	55.21385734	59.41885796	60.75112325	66.83154527	61.92877768	51.47731236	60.66543858	80.88993133	84.761807	58.5310275
RBBP4	407.7305242	393.3217867	447.5542986	362.4489652	433.0568261	441.8686472	382.9139727	412.4455508	378.2719914	417.9923272	475.0034262	376.4450324	420.9606758	433.0291366	428.481235	435.878142	446.3328008	469.2390211	460.0990998	448.6125909	462.5350315	497.9880807	545.1544621	472.9106659	486.9917169	437.1235711	382.6222148	451.6912083	450.9890709
ZSCAN20	102.4663097	144.319622	113.8110588	123.44992	111.2996516	136.9170456	123.2866958	103.6031749	115.7795114	94.21414359	100.6237788	86.13572775	117.7028205	100.1514975	100.2574478	110.5218081	107.8813879	95.94106379	82.07173131	73.61847645	88.54574911	89.84321044	105.9757361	93.59690262	88.24682119	110.5274429	120.6929134	137.1802929	109.5580771
THRAP3	1591.074087	1369.003738	1577.97495	1273.015575	1575.395977	1504.842801	1293.78509	1611.750658	1473.316378	1295.112734	1527.113819	1448.356311	1524.597711	1632.685563	1465.668403	1741.028932	1569.568428	1471.387042	1597.911738	1735.78564	1645.086812	1546.158869	1586.771832	1501.772859	1707.73941	1665.390944	1507.37745	1331.652599	1639.619168
LINC01137	273.2434926	219.5284391	239.9260158	224.1850547	236.7647133	248.940083	233.5195061	272.1222633	235.0942751	276.0076319	245.6404011	218.5295315	270.0241177	235.6081991	303.1594254	293.0690641	274.991773	252.9355318	268.5983934	272.6184206	273.7927769	295.19912	292.1493265	280.7907079	272.9114655	226.8721196	264.4972358	240.9019778	240.1272923
BMP8A	360.7667989	277.459555	380.6518519	369.3621607	398.6551156	358.4737194	385.8148361	433.4284723	364.1309824	307.8546664	448.3677201	381.2303506	434.8080664	402.7675331	504.8678619	445.8126865	370.1812329	379.4032977	383.0014128	460.1154778	415.9320057	443.2265049	439.178726	390.573541	419.9895008	400.5581013	432.6969342	329.0096456	369.9461097
CITED4	3.557857977	1.016335366	4.613961842	1.97519872	3.035445043	4.978801659	1.450431715	7.212879267	5.302878385	7.961758614	5.179165084	0	1.384739065	7.205143705	8.354787313	7.45090841	4.230642662	4.360957445	11.19159972	13.80346433	3.495226939	13.69039397	0.954736361	4.22241666	11.43940275	9.141367457	8.987770147	1.115286934	3.751988942
CCDC30	693.7823055	923.8488479	637.4957278	874.0254337	678.9278746	703.2557343	932.6275926	637.3562407	886.4645033	881.1012866	693.2682405	751.2949587	708.9864013	592.9833269	738.8019067	578.6872198	612.3855253	778.8669997	664.034917	620.0056064	596.5187308	647.7267648	759.015407	631.2512906	606.2883456	679.7853254	789.6398058	787.3925755	669.3548273
