Geneid	C36	D01	D04	D05	D15	D16	D19	D20	D25	D31	D38	D41	D51	D57
LOC101928516	882.5941358	892.717305	1098.057761	1076.656265	1007.950614	1303.926276	860.5096677	873.0691192	1004.295207	956.6162788	1337.585642	1218.870942	953.5559289	1005.55042
LINC02540	51.14587117	55.47960652	78.77370895	54.63999501	51.82537261	94.19668081	65.90608727	34.50866084	62.91408489	77.00846609	127.9346724	85.85580541	52.29441255	70.63783944
LINC02542	746.205146	749.3349453	861.7366343	603.5235812	817.5716944	900.1016167	718.7494045	611.9535855	856.3305999	734.1473768	963.3289882	1069.678887	776.2451864	887.5436767
SNAP91	180.977698	170.7619058	213.643847	153.9854405	193.5519018	279.1012765	175.3350623	155.2889738	184.0819521	200.2220118	242.5030357	280.0869718	211.6289508	202.7721509
CYB5R4	728.500806	664.3142496	779.3823022	819.5999251	797.4761418	746.5959146	749.8371815	708.5778359	682.7343287	647.7267648	657.8133527	640.3998601	728.0362748	734.6335302
TBX18-AS1	15.73719113	19.453888	26.25790298	24.83636137	23.26853464	33.14327658	11.19159972	12.65317564	19.80628599	14.5460436	23.86840902	33.07559717	16.34200392	21.60686853
HTR1E	125.2418127	143.3823597	107.418694	98.1036274	98.36244189	159.6110425	84.55875347	111.5780034	129.3233967	117.2239984	108.8399451	181.5639164	108.6743261	130.4722446
GJB7	179.6662654	157.0721328	210.0632239	153.9854405	138.5535472	155.250085	156.6823961	118.4797355	142.1392288	179.6864209	147.0293996	138.6360137	131.5531316	236.8445205
C6orf163	92.45599788	90.06429631	99.06390671	84.44362864	78.26688925	85.47476592	89.53279779	75.91905384	92.04097605	91.55450969	86.88100885	107.6716248	80.89291942	99.72400862
SPACA1	21.6386378	13.68977304	22.67727985	31.04545171	22.21087398	41.86519147	12.4351108	19.55490781	23.30151292	22.2468902	21.9589363	33.77933328	18.79330451	29.08616918
CNR1	53.76873635	60.52320712	64.45121641	45.94726853	51.82537261	54.94806381	49.74044322	42.5606817	57.08870666	58.18417438	54.41997257	95.00437484	46.57471118	71.46887284
CASC6	50.49015487	105.1950981	71.61246268	45.94726853	85.67051391	86.34695741	55.95799862	36.80923823	79.22514394	82.99801346	126.0251996	134.413597	48.20891157	54.84820474
EPHA7	150.8147483	185.8927076	268.5467351	137.8418056	264.4151664	340.1546807	172.8480402	117.3294468	206.2183894	238.7262449	368.5282353	354.6829994	164.2371394	221.0548858
TSG1	55.08016895	51.87703467	107.418694	52.15635887	64.5173006	136.0618723	73.36715375	37.95952692	61.74900925	93.26580894	120.2967815	99.93052761	55.56281334	63.9895722
FUT9	159.3390602	147.7054459	213.643847	131.6327152	141.7265292	323.5830424	125.5946191	92.02309557	205.0533137	191.6655156	239.6388266	284.3093884	134.8215324	198.6169838
FHL5	62.94876451	79.97709512	78.77370895	44.70545046	57.11367594	118.6180425	60.93204294	58.66472342	60.5839336	78.71976534	110.7494179	121.746347	62.9167151	90.58264116
KLHL32	586.8660858	665.0347639	692.2538059	569.9944934	598.6359367	743.9793401	530.9792314	573.9940586	624.4805464	599.8103859	701.7312253	743.1453321	613.6422473	734.6335302
LOC101927314	500.9672509	536.0626916	657.6411156	452.0217769	493.9275308	749.2124891	455.1250555	364.6415162	554.5760076	460.3394973	624.3975801	643.2148045	508.236322	600.0061185
MCHR2	74.75165786	79.25658075	90.7091194	68.29999376	83.55519258	109.8961276	77.09768699	49.46241387	102.5266569	84.7093127	105.9757361	137.9322775	75.17321805	84.76540733
MCHR2-AS1	86.5545512	96.54892564	95.48328358	79.47635637	96.24712056	134.3174893	89.53279779	83.9710747	110.6821864	82.14236383	113.613627	145.6733748	100.5033241	118.8377769
FIG4	1066.194699	900.6429631	1065.832153	1067.963539	1056.603005	1085.006212	1071.906551	945.5373069	887.7876424	1084.108073	849.7153613	886.0037624	1072.852558	1149.319199
LINC02518	20.32720521	18.01285926	19.09665672	17.38545296	26.44151664	16.57163829	31.08777701	12.65317564	22.13643728	21.39124058	32.46103627	28.85318051	25.33010608	24.93100216
HDAC2-AS2	885.2170009	921.5378798	961.994082	807.1817444	946.6062956	1054.47951	887.8669115	630.3582046	591.8584283	865.0617691	991.971079	1087.27229	661.8511589	855.1333739
DSE	1348.808423	1177.320481	1273.508295	1282.798065	1324.191153	1351.896808	1222.371392	1191.699088	1158.085192	1215.878115	1283.165669	1152.016012	1391.521634	1227.436339
SLC35F1	527.1959028	563.4422377	685.0925597	473.132684	559.5024921	765.7841274	489.9433657	504.9767369	570.8870666	638.314619	766.6532978	971.8595678	536.0177287	696.4059935
FAM184A	860.955498	1012.32269	985.8649029	938.8144596	980.4514369	997.7870634	957.503532	871.9188305	900.6034745	916.4007465	976.6952973	943.7101234	857.955206	931.5884472
LOC105377975	1146.192087	907.8481068	1235.314981	1168.550802	1185.637606	1239.384106	1112.942417	961.6413487	992.6444506	1128.601853	940.4153155	870.521568	871.0288091	1116.908897
PKIB	564.5717317	586.4986975	614.673638	448.2963227	599.6935973	719.5579784	553.3624308	422.1559509	590.6933526	626.3355242	584.2986529	780.4433459	576.0556383	693.0818599
CLVS2	71.47307637	56.2001209	84.74141417	72.02544796	88.8434959	140.4228297	54.71448754	40.26010431	83.88544653	75.29716685	89.74521793	142.8584303	57.19701373	87.25850754
TRDN	515.3930094	476.9805132	761.4791865	541.4326778	489.6968881	709.9638721	578.2326524	377.2946918	560.4013858	430.3917605	658.7680891	747.3677488	482.9062159	651.5301897
RNF217-AS1	238.6807321	202.4645381	263.7725709	271.958157	246.4349351	260.7852552	238.7541275	220.8554294	237.6754318	235.3036464	236.7746175	266.7159857	234.5077563	251.8031218
RNF217	1086.521904	1028.894521	1131.47691	1106.459899	1043.911077	1059.712659	1068.176018	1085.872528	1111.482166	1064.428131	1059.757361	1234.353137	1020.558145	1149.319199
CENPW	266.2208166	247.1364291	269.7402761	235.945433	239.0313104	323.5830424	237.5106164	200.1502329	288.9387603	236.159296	358.9808717	375.7950827	227.9709547	285.8754914
RSPO3	151.4704646	146.2644172	208.8696828	105.5545358	134.3229045	201.476234	131.8121745	116.1791582	174.7613469	143.7491367	155.6220268	190.0087497	170.773941	177.0101153
RNF146	136.3889898	123.2079573	124.1282686	134.1163514	143.8418505	117.745851	138.0297299	104.6762712	161.9455148	144.6047863	153.7125541	140.747222	149.5293359	125.4860442
C6orf58	15.73719113	15.85131615	28.64498507	14.90181682	19.03789198	23.5491702	9.948088644	13.80346433	15.1459834	17.11299247	29.59682719	37.29801383	10.62230255	22.43790194
THEMIS	215.0749454	230.5645985	352.0946082	191.2399825	253.8385597	368.9369999	251.1892383	212.8034085	248.1611126	266.1070328	349.4335081	425.7603465	347.2675834	282.5513578
LAMA2	1157.339264	1174.438424	1664.989757	1269.138066	1420.438274	1583.027553	1239.780547	1126.132632	1330.516388	1474.284301	1414.919287	1523.588678	1273.042106	1416.911956
MOXD1	274.7451284	283.1621476	365.2235597	350.1926953	328.932467	376.7867233	269.8419045	269.1675545	266.802323	302.8999666	339.8861445	345.53443	312.9493751	291.6927252
TARID	493.0986553	620.362873	669.5765261	448.2963227	466.4283535	666.3542976	448.9075001	449.7628796	566.226764	580.9860942	649.2207255	671.3642489	487.8088171	607.4854192
LOC102723649	24.91721929	18.01285926	27.45144403	26.07817943	32.78748063	32.27108509	31.08777701	24.15606259	20.97136163	26.52513832	31.50629991	44.33537493	30.23270726	24.93100216
NMBR	110.1603379	99.43098312	136.0636791	116.7308984	109.9967092	160.483234	106.9419529	94.32367295	101.3615812	125.7804946	206.223054	159.0443608	120.1137288	136.2894784
LINC01277	285.8923055	274.5159751	381.9331343	358.8854217	368.0659116	361.0872765	313.3647923	284.1213076	330.8814835	331.1364042	410.5366352	307.53268	340.7307818	358.1753976
ZC2HC1B	340.9724744	288.9262626	377.1589701	358.8854217	312.0098963	347.1322126	309.634259	278.3698641	290.1038359	314.8790614	302.6514264	272.3458745	314.5835755	312.4685603
LOC100507557	627.5204962	535.3421772	689.8667238	576.2035837	591.232312	612.2784253	538.4402978	547.5374186	555.7410832	559.5948536	727.5091071	633.362499	584.2266403	622.4440205
GRM1	794.0724357	805.5350662	808.0272873	952.4744584	820.7446764	953.3052975	931.3897993	810.9535297	767.7848508	864.2061195	1311.80776	928.9316651	773.7938858	904.9953782
LOC105378052	8.524311861	4.323086223	1.193541045	7.45090841	7.403624659	7.849723401	3.730533241	0	11.65075646	3.422598493	2.864209083	2.81494444	6.536801569	4.986200431
CCDC170	426.8713093	468.3343408	449.9649738	305.4872448	406.1416956	477.960936	450.1510111	376.1444031	561.5664615	329.425105	497.4176441	698.1062211	485.3575165	556.7923815
SYNE1	3067.440837	3176.747859	3276.270168	3234.936068	3082.023179	3021.271318	3304.008941	2929.785305	3179.491438	2596.040957	2894.760646	3039.436259	3051.869233	3777.87786
VIP	13.77004224	12.96925867	22.67727985	18.62727102	12.69192799	18.31602127	4.974044322	6.901732167	19.80628599	10.26779548	11.45683633	8.444833319	7.353901766	24.93100216
FBXO5	119.9960824	121.0464142	109.8057761	135.3581694	119.5156552	100.3020212	116.8900416	75.91905384	116.5075646	108.6675022	130.7988815	87.26327763	106.2230255	118.8377769
OPRM1	426.8713093	404.9290762	427.287694	466.9235937	371.2388936	485.8106594	470.0471884	444.0114361	384.4749632	457.7725484	338.9314081	361.7203605	348.9017838	488.6476422
HGC6.3	10.49146075	12.2487443	11.93541045	4.967272273	10.57660666	10.46629787	11.19159972	11.50288695	23.30151292	11.1234451	11.45683633	30.26065273	16.34200392	12.46550108
PDGFA	489.8200739	582.8961257	417.7393656	583.6544921	520.3690474	571.2854253	645.3822508	716.6298567	618.6551681	566.4400506	396.2155898	474.3181381	538.4690293	486.154542
DNAAF5	1098.324797	1178.76151	1016.89697	1149.923531	1092.563467	1173.097553	1045.792819	1111.178879	1155.755041	1279.196187	1030.160533	1121.051623	1125.96407	1120.23303
SUN1	1007.835948	1180.923053	946.4780484	1185.936255	1147.561822	1061.457042	1144.030194	1310.178823	1197.697764	1218.445064	1037.798424	1220.278415	1224.016094	1149.319199
GET4	733.7465363	675.1219651	532.3193059	634.5690329	545.7529034	719.5579784	659.0608727	743.0864967	717.6865981	711.9004866	520.3313167	599.5831657	800.7581922	668.1508578
PSMG3-AS1	303.5966455	373.2264439	332.9979515	346.4672411	339.5090736	372.4257658	323.3128809	340.4854536	392.6304928	323.4355576	283.5566992	323.7186106	334.1939802	295.8478922
USP42	748.1722949	830.0325548	744.7696119	840.7108322	793.2454991	812.0102763	718.7494045	774.1442914	763.1245483	825.7018864	756.1511979	848.7057486	716.596872	743.7748976
AGR2	121.3075149	115.2822993	140.8378433	161.4363489	121.6309765	131.7009148	138.0297299	124.231179	90.8759004	134.3369909	130.7988815	103.4492082	96.41782315	104.7102091
ITPRID1	219.6649595	220.4773974	276.9015224	185.0308922	174.5140098	343.6434467	187.7701732	142.6357981	251.6563396	178.8307713	327.4745718	320.19993	273.7285657	224.3790194
PPP1R17	89.17741639	59.80269275	38.19331343	47.1890866	47.59472995	75.88065955	88.28928671	44.86125909	59.41885796	40.21553229	48.69155441	49.96526381	102.1375245	86.42747414
PDE1C	1253.073844	1295.484838	1550.409817	1144.956259	1290.346012	1483.597723	1247.241614	1022.606649	1210.513596	1093.520219	1415.874023	1496.846706	1108.804966	1494.198062
DPY19L1P1	847.1854557	805.5350662	945.2845074	832.0181058	833.4366044	900.1016167	973.669176	738.4853419	771.2800778	812.8671421	825.8469522	705.1435822	793.4042905	1064.553792
NPSR1-AS1	269.4993981	314.8647799	411.7716604	217.318162	323.6441636	462.2614892	210.1533726	255.3640902	330.8814835	395.3101259	473.549235	591.8420685	250.8497602	442.1097716
NPSR1	83.27596972	86.46172445	126.5153507	67.05817569	93.07413857	103.7907872	70.88013159	79.36991993	94.37112734	105.2449037	84.01679976	99.2267915	79.25871903	112.1895097
ABCA13	2305.4985	1954.755487	2240.276541	1388.3526	1643.604674	2040.928084	1901.328442	1448.213466	1529.744323	1738.680034	1544.763432	1447.585178	1698.751308	2467.33818
VWC2	247.8607603	255.0620871	311.5142127	211.1090716	211.5321331	327.9439999	231.293061	188.6473459	274.9578525	250.7053396	275.9188083	301.9027912	250.03266	298.3409925
ZPBP	215.7306617	221.9184261	278.0950634	198.6908909	205.1861691	311.3723616	202.6923061	190.9479233	213.2088433	233.5923472	261.5977629	334.9783883	229.6051551	270.0858567
LINC01446	106.8817564	125.3695005	167.0957463	106.7963539	108.9390485	229.3863616	108.185464	83.9710747	146.7995314	129.2030931	226.2725175	245.6039024	115.2111277	145.4308459
LOC650226	24.91721929	33.86417541	50.12872388	19.86908909	24.32619531	43.60957445	21.13968837	21.8554852	27.96181551	26.52513832	33.41577263	51.37273603	38.40370922	39.88960345
ZNF479	11.80289335	21.61543111	25.06436194	13.65999875	14.80724932	27.91012765	12.4351108	9.202309557	23.30151292	15.40169322	27.68735447	38.00174994	8.171001962	19.11376832
ZNF716	19.01577261	27.37954608	19.09665672	14.90181682	19.03789198	31.3988936	9.948088644	13.80346433	22.13643728	8.556496233	22.91367266	37.29801383	13.07360314	20.77583513
ZNF733P	8.524311861	12.2487443	8.354787313	3.725454205	9.51894599	16.57163829	7.461066483	5.751443473	1.165075646	9.412145856	15.27578178	16.88966664	4.902601177	9.141367457
ZNF722P	14.42575853	30.26160356	33.41914925	18.62727102	22.21087398	33.14327658	7.461066483	13.80346433	23.30151292	24.81383907	41.05366352	38.70548605	26.14720628	24.93100216
ZNF735	7.212879267	12.96925867	7.161246268	9.934544546	8.461285324	22.67697871	8.704577563	5.751443473	6.990453877	11.97909473	7.637890888	12.66724998	13.89070333	14.12756789
ZNF679	36.72011263	48.27446282	44.16101865	36.01272398	43.36408729	68.90312763	37.30533241	39.10981562	51.26332843	41.92683154	57.28418166	61.92877768	34.31820824	61.49647198
MLXIPL	439.329919	515.1677749	389.0943806	375.0290566	408.2570169	434.3513615	435.2288782	533.7339543	587.1981257	453.4943003	368.5282353	522.8759297	445.3196069	404.7132683
