data$Geneid,C36,D01,D04,D05,D15,D16,D19,D20,D25,D31,D38,D41,D51,D57
BRF1,2361.2343854889286,2624.1133371832047,1789.1180259902187,2265.076156582765,2244.355932222507,2124.6584672705326,2182.3619462303745,2620.3576462230894,2315.005308977976,2448.869221778229,1894.1969401409197,2217.472482444352,2253.562341033364,2080.076613144189
TMEM121,45.24442449284534,51.15652030203392,35.806231340698176,32.28726977585082,44.4217479516236,48.84272338552948,47.25342105797962,62.11558950660528,44.27287455519028,71.87456835407801,32.461036272576244,39.40922215705608,51.477312358630144,32.41030280168733
NF1P2,35.40868003787896,23.056459854437822,35.806231340698176,49.672722732078185,39.13344462404937,57.56463827580261,28.6007548508824,20.705196502201762,34.95226938567654,60.75112325166117,30.551563550659992,27.44570828794977,22.878805492724506,16.6206681034294
LINC02203,5.245730375982069,4.323086222707092,7.161246268139634,7.450908409811728,6.345963993089086,11.338489357355058,9.948088643785184,11.502886945667646,6.990453877135307,5.133897739577,4.773681804790624,6.333624989526871,2.4513005885061974,2.49310021551441
MAGEL2,28.851517067901376,27.379546077144916,25.06436193848872,18.627271024529318,24.326195306841498,29.654510626928616,32.33128809230185,35.658949531569704,17.47613469283827,24.813839074622166,35.32524535545062,29.556916617792062,22.878805492724506,17.45170150860087
PWRN2,2.6228651879910343,1.4410287409023639,2.387082089379878,0,9.518945989633629,6.105340423191185,6.21755540236574,2.300577389133529,4.660302584756871,5.133897739577,14.321045414371872,5.629888879579441,1.6342003923374648,9.141367456886169
LOC100289656,14.425758533950688,12.248744297670093,10.741869402209451,6.209090341509773,15.864909982722715,14.827255313464308,22.383199448516663,20.705196502201762,6.990453877135307,13.690393972205333,5.7284181657487485,7.7410972094217305,11.439402746362253,10.80343426722911
ULK4P3,142.94615274551137,219.75688298761048,153.96679476500213,273.19997502643,207.30149044091016,180.54363822865363,220.10146124374717,210.50283110571792,199.22793549835623,179.686420885195,204.3135812450387,106.26415260206193,221.43415316172647,219.39281896526808
OTUD7A,1689.125181066226,1659.3445951490721,1780.7632386773892,1543.5798588993296,1578.0297129481528,1684.2017653117398,1615.320893534619,1542.5371394140313,1575.1822736478225,1564.1275113244594,1440.6971686858103,1780.452358166998,1574.5520780171473,1552.3704008603058
CCNDBP1,87.21026750070189,91.5053250473001,75.19308581546616,79.4763563713251,76.15156791706903,83.73038294662197,73.36715374791572,59.81501211747175,72.2346900637315,67.59632023776383,74.46943615473373,78.81844431411216,72.72191745901718,78.11714008611817
SEMA6D,1184.8793486749496,1363.9337032640874,1664.989757342465,988.4871823683559,1489.1862170449056,1525.462914308769,1040.8187743560247,1268.7684301071413,1144.104284557812,1264.6501431824677,1941.9337581888258,1564.405372413137,1241.9922981764732,1508.3256303862179
LINC01491,76.71880674873775,112.40024179038438,137.257220139343,75.75090216641922,105.76606655148477,100.30202123814091,75.85417590886202,97.77453903817498,90.87590040275899,82.142363833232,153.7125541142581,130.19118034027454,78.44161883219832,119.66881034469168
CTXN2,57.04731783880499,39.62829037481501,50.12872387697744,38.496360117360595,52.883033275742385,57.56463827580261,43.52288781656018,41.410393004403524,31.45704244710888,56.472875135347,55.374708935571235,62.63251378532127,39.22080941609916,56.510271551659955
SLC12A1,249.17219285914825,234.16717039663413,340.1591977366326,202.41634513321858,255.95388105459315,282.59004244484913,198.96177287570367,213.9536971894182,222.5294484221406,232.73669752749066,319.8366809209718,270.2346662198131,246.7642592429572,258.45138900832717
ATP8B4,2102.882164471812,1651.418937074109,2141.2126341737508,1660.3107573197133,1766.2933114097957,1888.294573744131,1770.7597785937626,1578.1960889456009,1634.6011316034726,1809.6989532008924,1576.269731941864,1359.6181644184348,1812.3282351022485,2295.3142650836
CYP19A1,370.47970780373356,324.95198107348307,371.19126489857103,289.3436099143554,270.761130371801,337.5381062535698,339.47852496916937,289.87275103082465,286.6086089625476,325.14685683987665,267.32618106827493,217.45445797375586,334.19398023301153,371.47193211164705
DMXL2,1326.5140688264655,1188.8487112444502,1161.3154364833108,1135.0217144279866,1218.4250866731045,1214.0905527260186,1333.0438782672145,1004.2020303567855,1166.240721835407,1175.662582363133,1069.3047242730997,1067.5676787902514,1414.4004395680759,1388.6568200415263
SCG3,209.82921503928273,200.30299498542857,217.22447013356893,206.14179933812446,223.16640042363287,209.32595736655492,200.2052839561768,174.8438815741482,170.1010443436258,175.40817276888083,182.35464494300183,204.08347188475472,188.75014531497717,201.11008405149573
TMOD2,494.41008793630994,425.82399293664855,514.4161902613638,453.2635949302134,470.65899615410723,462.26148918447547,458.8555886945916,458.9651891321391,447.38904813665965,521.0906205670655,493.5986986153505,421.5379298585106,508.23632201695153,536.8475797407696
UNC13C,1043.244628523434,1005.1175467793988,1499.0875521305636,1031.9508147589243,965.6441876150559,1415.5667866913277,1020.9225970684544,886.8725835109755,996.1396774917812,997.6874607244637,1030.1605334738167,1369.470469957699,903.712816962618,1207.4915377141458
LOC105370829,66.22734599677361,56.20012089519219,60.87059327918689,47.18908659547427,56.05601527228693,73.26408507829423,62.17555402365739,56.36414603377146,54.758555370893234,71.01891873081517,54.41997257461311,73.18855543453272,59.64831432031747,83.10334051714699
VPS13C,1331.1040829054498,1192.4512830967062,1323.6370185611424,1456.6525941181928,1330.5371172176783,1293.459978227504,1304.4431234163321,1183.6470667092008,1280.4181351619504,1169.673035000293,1162.868887646996,1273.7623590048483,1349.849524070746,1347.9361831881242
SNAPC5,57.04731783880499,63.40526459970401,59.677052234496955,50.91454080038014,77.20922858258388,58.436829764829916,54.7144875408185,60.96530081203852,74.56484135610994,57.32852475860983,64.92207254515249,62.63251378532127,72.72191745901718,72.29990624991788
KIF23,291.1380358670048,262.26723084423026,290.0304738596552,324.11451582681013,282.3953976924643,260.78525521916634,308.3907479573407,272.6184206123232,250.49126393068184,296.05476964894035,267.32618106827493,247.71511070149538,293.33897042457494,324.93406142204475
LRRC49,626.2090636328594,681.6065944468181,734.0277424843125,640.7781232438085,702.2866819018589,727.4077018487784,569.5280748567018,530.2830881952784,668.753420912611,706.7665888151004,720.8259525233842,758.6275265233296,566.2504359449316,693.0818599130059
ULK3,117.37321716259878,135.4567016448222,131.2895149158933,126.66544296679936,109.99670921354416,129.0843403760422,120.62057480589534,139.1849320425785,140.97415318889534,120.6465968800595,84.01679976431498,104.85668038216707,112.75982707128507,137.95154525846402
NRG4,337.0381766568479,317.7468373689712,396.25562683705976,275.6836111630339,308.8369143303355,333.1771488084333,310.87777011828695,248.46235802642113,335.5417861024947,296.05476964894035,298.83248097989303,338.4970688847138,292.5218702284062,307.4823599134439
PEAK1,1881.905772383567,1933.8605702909724,2365.5983505754593,2185.59980021144,2174.550328298527,2088.898616220413,1998.3223063203486,1853.1150869470578,1963.152463828832,2015.0548627839726,1931.4316582182864,2072.5028437951814,2033.762388263975,2152.376519394107
ANKRD34C-AS1,196.0591728023298,216.1543111353546,225.5792574463985,182.5472560403873,243.26195306841498,280.84565946679453,156.68239613961663,184.04619113068233,199.22793549835623,195.088114103926,199.53989944024806,258.2711523507068,169.1397406069276,244.32382112041216
ADAMTS7P1,257.04078842312134,306.9391218122035,291.22401490434515,263.26543048001434,245.37727439944467,234.619510548347,249.94572717510272,279.5201527797238,269.1324742697093,252.41663886253585,237.72935387857308,268.12345788997084,280.26536728587524,258.45138900832717
