"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TNFRSF4",56.3562721974679,4.40603498094529e-06,0.00144259203634789,0.673637478435459,0.999652655765148
"SDF4",415.39933962677,-7.34065319780562e-05,0.00144333475320937,0.954607838548243,0.999652655765148
"B3GALT6",67.441658580671,-4.67683118549002e-06,0.00144257848941087,0.88613011666749,0.999652655765148
"C1QTNF12",90.1426225025189,-2.98426084230837e-06,0.00144256564836445,0.771829892911737,0.999652655765148
"UBE2J2",458.35373417376,4.37560037968679e-06,0.00144214444920779,0.975643525368687,0.999652655765148
"SCNN1D",193.320543309824,3.85485458946166e-06,0.00144249132393236,0.722861342546618,0.999652655765148
"ACAP3",378.352794594,-1.78386927578183e-06,0.00144248707348117,0.394616762397177,0.999652655765148
"PUSL1",70.9606831713061,2.08897558669101e-06,0.00144254125592473,0.899097179636434,0.999652655765148
"INTS11",221.422633945584,-0.000145472034500953,0.0014461583693598,0.352715710838429,0.999652655765148
"CPTP",72.6621154837925,-3.23400428876279e-06,0.00144251404981931,0.915988726444566,0.999652655765148
"TAS1R3",111.195225433676,-1.40505908427635e-05,0.00144256781831949,0.753684029885933,0.999652655765148
"DVL1",331.611784923969,7.75115448745747e-07,0.00144249486441276,0.764703156162979,0.999652655765148
"MXRA8",168.321953406034,2.11772490378397e-05,0.00144253592328873,0.829833429837368,0.999652655765148
"AURKAIP1",26.0310928850281,2.75440546097856e-06,0.00144262763127252,0.700307993362997,0.999652655765148
"CCNL2",227.637506300644,-1.44667199792515e-06,0.00144215907940318,0.492096407234941,0.999652655765148
"MRPL20-AS1",29.0371724838092,-4.38365054230947e-06,0.00144260436525294,0.594641888680155,0.999652655765148
"MRPL20",99.8657954192797,-1.18058673105587e-05,0.00144251884925607,0.317281386439186,0.999652655765148
"ANKRD65",41.3674825494779,-1.14114505396619e-05,0.00144262123976975,0.85888192571535,0.999652655765148
"TMEM88B",17.9204505449575,-1.34131255769123e-06,0.00144263295242525,0.858342818503374,0.999652655765148
"LINC01770",94.6726897744817,2.40994114500672e-05,0.00144263906554912,0.586884731279715,0.999652655765148
"VWA1",198.135337804,-4.10214934835567e-06,0.00144262298508687,0.547671265883745,0.999652655765148
"ATAD3C",270.266539505241,-2.24186653496929e-05,0.0014424614544653,0.139103750441318,0.999652655765148
"ATAD3B",387.176484224444,-2.89352748622511e-05,0.00144253344735398,0.48409127445465,0.999652655765148
"ATAD3A",361.442622997457,8.85074660537238e-06,0.00144231307731855,0.593546879637844,0.999652655765148
"TMEM240",149.245948043833,-1.27283111947755e-05,0.00144250430295147,0.302746397633948,0.999652655765148
"SSU72",946.328101878904,-5.95521592840873e-05,0.0014429050985804,0.757982731699409,0.999652655765148
