Geneid	A01	A04	A05	A14	A15	A16	A19	A20	A25	A26	A30	A31	A33	A36	A38	A41	A43	A50	A51	A57
CD9	1226.627169	1217.344729	1201.993665	1195.980346	912.7728182	1345.891638	1503.178504	1274.642741	1194.962864	1208.602065	1246.392231	1361.1547	1285.166013	1444.267735	1304.949318	1361.27042	1243.456485	1219.889621	1271.984691	1292.710702
CD163L1	339.501914	389.3835537	363.6108752	327.1871864	353.0121381	289.5052952	345.1829613	392.1977665	321.5905724	267.1112126	298.981788	276.7059692	387.6328779	402.0363526	344.3523926	272.7607603	368.5425245	308.3237505	394.4358551	334.6741145
CLEC4C	187.2478911	260.9786988	223.3609662	154.858013	146.2635962	134.4865024	192.4161778	187.4109581	154.5891523	148.2822701	169.4864913	194.6637681	192.0050704	209.8246869	190.1250662	189.159165	209.7396481	147.459185	170.9694983	160.0985586
NANOG	100.0701844	105.8923155	99.73326864	116.7391175	78.08056638	93.4219215	102.6219615	55.85094777	90.27103786	90.39124686	100.9301577	80.55052472	99.62527236	120.9937975	98.3863979	63.33454187	92.8847013	77.08093761	94.35246174	126.8866235
CLEC4D	58.32311362	30.01671935	63.37218111	65.91392348	48.38795663	46.19765349	74.6341538	50.88641907	55.29101069	47.7347034	52.36942146	35.80023321	60.68084771	55.13641407	47.86365303	31.24504065	41.94792962	42.45037144	43.27443734	57.05640119
KLRG1	271.3559602	334.3529016	299.1998059	289.0682909	276.031298	248.4407143	298.5366152	315.2475718	306.9215287	235.626621	356.1120659	244.6349269	307.93266	284.1056892	313.1080636	249.9603252	317.6057528	260.2878038	334.8448266	344.8931714
LOC374443	215.4885566	240.9675525	245.1776187	250.9493954	159.4603116	258.7068595	198.246971	218.4392624	233.5763105	189.9231816	259.9427647	225.9889721	256.3086552	218.2483057	230.6762167	191.6925467	262.9236303	172.0357158	226.3040248	266.5470683
KLRF1	291.0016406	316.0093509	334.5220052	298.5980148	254.0367723	239.2011836	366.1738171	291.6660606	287.7389332	206.1732934	244.7080239	272.23094	288.0076055	320.8632985	298.4830585	249.9603252	280.1522442	265.873379	343.3578307	304.0169437
CLEC2B	92.70305428	119.2330796	108.0443744	104.032819	102.2745447	88.28884889	108.4527547	90.6026486	93.65620178	50.78159936	99.02581513	96.21312675	115.9275897	116.3990964	101.0454897	82.75713471	100.375403	97.18900829	126.985644	97.93262891
CLEC2A	173.7414858	178.4327206	216.0887487	177.0940354	172.6570271	144.7526476	219.2378268	215.956998	203.1098352	174.6887018	150.4430653	192.4262535	183.8539117	223.6087904	195.4432499	147.7805977	222.473841	198.8464767	234.8170288	200.9747863
